workload,frames,presented_fps,commit_avg_ms,commit_min_ms,commit_max_ms,pending_bound,errors
direct-kms-noise,100,11.438,76.092,53.801,86.853,not-applicable,0
mir-rgb565-latest-frame,906,22,41.118,2.468,77.306,1,0
