Aug 24 02:16:33 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:33.975161Z  INFO gud_drm: frame_stats payload_seq=216 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=924354 output_bytes=1843200 read_size=924354 read_calls=1 first_request_bytes=924354 last_request_bytes=924354 usb_packets_est=1806 compression=1 ratio=1.99 recv_ms=27 decompress_ms=12 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=14 usb_mib_s=32.65
Aug 24 02:16:33 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:33.975305Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=216 accepted_transactions=216 rejected_busy_transactions=0 aio_submission_attempts=216 aio_accepted=216 aio_completed=216 processing_started=216 processing_completed=216 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=216 last_sequence=216 validation_to_aio_accept_ms_total=0 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1303 processing_ms_total=1079 complete_transaction_ms_total=1079
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.013412Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=217 receiver_state=InFlight
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.064954Z  INFO gud_drm: frame_stats payload_seq=217 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=940082 output_bytes=1843200 read_size=940082 read_calls=1 first_request_bytes=940082 last_request_bytes=940082 usb_packets_est=1837 compression=1 ratio=1.96 recv_ms=37 decompress_ms=12 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=14 usb_mib_s=24.23
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.065100Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=217 accepted_transactions=217 rejected_busy_transactions=0 aio_submission_attempts=217 aio_accepted=217 aio_completed=217 processing_started=217 processing_completed=217 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=217 last_sequence=217 validation_to_aio_accept_ms_total=0 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1340 processing_ms_total=1093 complete_transaction_ms_total=1093
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.073524Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=218 receiver_state=InFlight
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.124485Z  INFO gud_drm: frame_stats payload_seq=218 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=906494 output_bytes=1843200 read_size=906494 read_calls=1 first_request_bytes=906494 last_request_bytes=906494 usb_packets_est=1771 compression=1 ratio=2.03 recv_ms=36 decompress_ms=12 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=15 usb_mib_s=24.01
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.124631Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=218 accepted_transactions=218 rejected_busy_transactions=0 aio_submission_attempts=218 aio_accepted=218 aio_completed=218 processing_started=218 processing_completed=218 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=218 last_sequence=218 validation_to_aio_accept_ms_total=0 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1376 processing_ms_total=1108 complete_transaction_ms_total=1108
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.129972Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=219 receiver_state=InFlight
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.170588Z  INFO gud_drm: frame_stats payload_seq=219 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=905240 output_bytes=1843200 read_size=905240 read_calls=1 first_request_bytes=905240 last_request_bytes=905240 usb_packets_est=1769 compression=1 ratio=2.04 recv_ms=26 decompress_ms=13 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=15 usb_mib_s=33.20
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.170724Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=219 accepted_transactions=219 rejected_busy_transactions=0 aio_submission_attempts=219 aio_accepted=219 aio_completed=219 processing_started=219 processing_completed=219 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=219 last_sequence=219 validation_to_aio_accept_ms_total=0 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1402 processing_ms_total=1123 complete_transaction_ms_total=1123
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.200222Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=220 receiver_state=InFlight
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.239770Z  INFO gud_drm: frame_stats payload_seq=220 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=902810 output_bytes=1843200 read_size=902810 read_calls=1 first_request_bytes=902810 last_request_bytes=902810 usb_packets_est=1764 compression=1 ratio=2.04 recv_ms=25 decompress_ms=12 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=15 usb_mib_s=34.44
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.239918Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=220 accepted_transactions=220 rejected_busy_transactions=0 aio_submission_attempts=220 aio_accepted=220 aio_completed=220 processing_started=220 processing_completed=220 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=220 last_sequence=220 validation_to_aio_accept_ms_total=1 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1427 processing_ms_total=1138 complete_transaction_ms_total=1138
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.281762Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=221 receiver_state=InFlight
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.321584Z  INFO gud_drm: frame_stats payload_seq=221 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=902956 output_bytes=1843200 read_size=902956 read_calls=1 first_request_bytes=902956 last_request_bytes=902956 usb_packets_est=1764 compression=1 ratio=2.04 recv_ms=25 decompress_ms=12 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=15 usb_mib_s=34.45
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.321741Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=221 accepted_transactions=221 rejected_busy_transactions=0 aio_submission_attempts=221 aio_accepted=221 aio_completed=221 processing_started=221 processing_completed=221 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=221 last_sequence=221 validation_to_aio_accept_ms_total=2 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1452 processing_ms_total=1153 complete_transaction_ms_total=1153
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.357009Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=222 receiver_state=InFlight
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.399490Z  INFO gud_drm: frame_stats payload_seq=222 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=903232 output_bytes=1843200 read_size=903232 read_calls=1 first_request_bytes=903232 last_request_bytes=903232 usb_packets_est=1765 compression=1 ratio=2.04 recv_ms=28 decompress_ms=12 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=15 usb_mib_s=30.76
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.399633Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=222 accepted_transactions=222 rejected_busy_transactions=0 aio_submission_attempts=222 aio_accepted=222 aio_completed=222 processing_started=222 processing_completed=222 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=222 last_sequence=222 validation_to_aio_accept_ms_total=2 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1480 processing_ms_total=1168 complete_transaction_ms_total=1168
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.441065Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=223 receiver_state=InFlight
