case,run,event,event_ns,detail
t05-f,A,mir_connection_release_begin,57389268,monotonic-ms representative T05-A marker
t05-f,A,mir_connection_release_complete,,not observed
t05-f,A,sigkill_sent,,xdispd existing deadline
t05-f,A,child_reaped,,forced-sigkill
