component,p50_ms,p95_ms,max_ms,share_of_e2e_p50,measurement
Mir/source capture cycle,50.000,50.000,73.583,41.7%,phone final report capture_cycle_us
producer enqueue,0.050,0.050,1.589,0.0%,phone final report enqueue_us
GUD SET_BUFFER admission,7.998,11.887,18.754,6.7%,host frame_seq timing
logical RAW USB bulk,91.058,91.721,95.773,76.0%,host bulk_wait_us
FunctionFS internal chunk sequencing,not-separated,not-separated,not-separated,not-separated,225 chunks; included in logical transfer
Pi processing,4.000,4.000,5.000,3.3%,Pi frame_stats total_ms
DRM/KMS/presenter,remainder,remainder,remainder,remainder,not independently exposed by this run
E2E source-ready to worker-end,119.826,133.736,160.031,100.0%,deduplicated mirgud frame trace
