Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.304966Z  INFO gud_drm: frame_stats payload_seq=448 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=100 decompress_ms=0 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=4 usb_mib_s=35.16
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.305127Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=448 accepted_transactions=448 rejected_busy_transactions=0 aio_submission_attempts=448 aio_accepted=448 aio_completed=448 processing_started=448 processing_completed=448 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=448 last_sequence=448 validation_to_aio_accept_ms_total=1562 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=44948 processing_ms_total=1793 complete_transaction_ms_total=1794
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.312172Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=449 receiver_state=InFlight
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.412887Z  INFO gud_drm: frame_stats payload_seq=449 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=100 decompress_ms=0 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=4 usb_mib_s=35.16
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.413046Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=449 accepted_transactions=449 rejected_busy_transactions=0 aio_submission_attempts=449 aio_accepted=449 aio_completed=449 processing_started=449 processing_completed=449 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=449 last_sequence=449 validation_to_aio_accept_ms_total=1566 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=45048 processing_ms_total=1797 complete_transaction_ms_total=1798
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.419628Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=450 receiver_state=InFlight
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.519551Z  INFO gud_drm: frame_stats payload_seq=450 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=100 decompress_ms=0 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=4 usb_mib_s=35.16
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.519708Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=450 accepted_transactions=450 rejected_busy_transactions=0 aio_submission_attempts=450 aio_accepted=450 aio_completed=450 processing_started=450 processing_completed=450 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=450 last_sequence=450 validation_to_aio_accept_ms_total=1570 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=45148 processing_ms_total=1801 complete_transaction_ms_total=1802
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.526653Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=451 receiver_state=InFlight
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.627491Z  INFO gud_drm: frame_stats payload_seq=451 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=100 decompress_ms=0 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=4 usb_mib_s=35.16
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.627804Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=451 accepted_transactions=451 rejected_busy_transactions=0 aio_submission_attempts=451 aio_accepted=451 aio_completed=451 processing_started=451 processing_completed=451 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=451 last_sequence=451 validation_to_aio_accept_ms_total=1574 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=45248 processing_ms_total=1805 complete_transaction_ms_total=1806
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.636175Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=452 receiver_state=InFlight
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.738667Z  INFO gud_drm: frame_stats payload_seq=452 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=101 decompress_ms=0 copy_ms=5 scale_ms=0 flush_ms=0 total_ms=5 usb_mib_s=34.81
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.738835Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=452 accepted_transactions=452 rejected_busy_transactions=0 aio_submission_attempts=452 aio_accepted=452 aio_completed=452 processing_started=452 processing_completed=452 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=452 last_sequence=452 validation_to_aio_accept_ms_total=1578 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=45349 processing_ms_total=1810 complete_transaction_ms_total=1811
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.745381Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=453 receiver_state=InFlight
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.845676Z  INFO gud_drm: frame_stats payload_seq=453 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=100 decompress_ms=0 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=4 usb_mib_s=35.16
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.845801Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=453 accepted_transactions=453 rejected_busy_transactions=0 aio_submission_attempts=453 aio_accepted=453 aio_completed=453 processing_started=453 processing_completed=453 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=453 last_sequence=453 validation_to_aio_accept_ms_total=1582 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=45449 processing_ms_total=1814 complete_transaction_ms_total=1815
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.851590Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=454 receiver_state=InFlight
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.951236Z  INFO gud_drm: frame_stats payload_seq=454 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=96 decompress_ms=0 copy_ms=6 scale_ms=0 flush_ms=0 total_ms=6 usb_mib_s=36.62
Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.951358Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=454 accepted_transactions=454 rejected_busy_transactions=0 aio_submission_attempts=454 aio_accepted=454 aio_completed=454 processing_started=454 processing_completed=454 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=454 last_sequence=454 validation_to_aio_accept_ms_total=1584 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=45545 processing_ms_total=1820 complete_transaction_ms_total=1821
