Aug 24 00:21:31 raspberrypi gud-drm[2360]: 2026-08-23T23:21:31.333347Z  INFO gud_drm: frame_stats payload_seq=816 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14470 output_bytes=3686400 read_size=14470 read_calls=1 first_request_bytes=14470 last_request_bytes=14470 usb_packets_est=29 compression=1 ratio=254.76 recv_ms=10 decompress_ms=7 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=12 usb_mib_s=1.38
Aug 24 00:21:31 raspberrypi gud-drm[2360]: 2026-08-23T23:21:31.333517Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=816 accepted_transactions=816 rejected_busy_transactions=0 aio_submission_attempts=816 aio_accepted=816 aio_completed=816 processing_started=816 processing_completed=816 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=816 last_sequence=816 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24637 processing_ms_total=11028 complete_transaction_ms_total=11029
Aug 24 00:21:32 raspberrypi gud-drm[2360]: 2026-08-23T23:21:32.312504Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=817 receiver_state=InFlight
Aug 24 00:21:32 raspberrypi gud-drm[2360]: 2026-08-23T23:21:32.335186Z  INFO gud_drm: frame_stats payload_seq=817 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14470 output_bytes=3686400 read_size=14470 read_calls=1 first_request_bytes=14470 last_request_bytes=14470 usb_packets_est=29 compression=1 ratio=254.76 recv_ms=10 decompress_ms=7 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=12 usb_mib_s=1.38
Aug 24 00:21:32 raspberrypi gud-drm[2360]: 2026-08-23T23:21:32.335355Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=817 accepted_transactions=817 rejected_busy_transactions=0 aio_submission_attempts=817 aio_accepted=817 aio_completed=817 processing_started=817 processing_completed=817 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=817 last_sequence=817 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24647 processing_ms_total=11040 complete_transaction_ms_total=11041
Aug 24 00:21:33 raspberrypi gud-drm[2360]: 2026-08-23T23:21:33.311439Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=818 receiver_state=InFlight
Aug 24 00:21:33 raspberrypi gud-drm[2360]: 2026-08-23T23:21:33.334422Z  INFO gud_drm: frame_stats payload_seq=818 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14470 output_bytes=3686400 read_size=14470 read_calls=1 first_request_bytes=14470 last_request_bytes=14470 usb_packets_est=29 compression=1 ratio=254.76 recv_ms=11 decompress_ms=7 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=12 usb_mib_s=1.25
Aug 24 00:21:33 raspberrypi gud-drm[2360]: 2026-08-23T23:21:33.334604Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=818 accepted_transactions=818 rejected_busy_transactions=0 aio_submission_attempts=818 aio_accepted=818 aio_completed=818 processing_started=818 processing_completed=818 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=818 last_sequence=818 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24658 processing_ms_total=11052 complete_transaction_ms_total=11053
Aug 24 00:21:49 raspberrypi gud-drm[2360]: 2026-08-23T23:21:49.368698Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=819 receiver_state=InFlight
Aug 24 00:21:49 raspberrypi gud-drm[2360]: 2026-08-23T23:21:49.391518Z  INFO gud_drm: frame_stats payload_seq=819 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14467 output_bytes=3686400 read_size=14467 read_calls=1 first_request_bytes=14467 last_request_bytes=14467 usb_packets_est=29 compression=1 ratio=254.81 recv_ms=10 decompress_ms=7 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=12 usb_mib_s=1.38
