timestamp,run,source_bytes,payload_bytes,rectangles,compressed,raw,planner_us,set_buffer_us,bulk_wait_us,transfer_us
6539.857611,managed-fullframe-lz4,3686400,14467,1,1,0,7800,509,463,8860
6539.881846,managed-fullframe-lz4,3686400,14467,1,1,0,7573,416,443,8528
6539.906872,managed-fullframe-lz4,3686400,14467,1,1,0,7589,436,451,8565
6539.931185,managed-fullframe-lz4,3686400,14467,1,1,0,7479,430,454,8455
6539.957362,managed-fullframe-lz4,3686400,14467,1,1,0,7565,416,452,8522
6539.982122,managed-fullframe-lz4,3686400,14467,1,1,0,3858,428,416,4767
6540.005761,managed-fullframe-lz4,3686400,14467,1,1,0,6116,888,448,7558
6540.029398,managed-fullframe-lz4,3686400,14467,1,1,0,5784,501,448,6812
6540.056042,managed-fullframe-lz4,3686400,14467,1,1,0,7816,440,470,8816
6540.079948,managed-fullframe-lz4,3686400,14467,1,1,0,5750,395,434,6636
6540.101958,managed-fullframe-lz4,3686400,14467,1,1,0,3856,788,434,5143
6540.131776,managed-fullframe-lz4,3686400,14467,1,1,0,8013,610,467,9191
6540.156598,managed-fullframe-lz4,3686400,14467,1,1,0,7601,444,465,8609
6540.182279,managed-fullframe-lz4,3686400,14467,1,1,0,7656,410,483,8778
6540.206951,managed-fullframe-lz4,3686400,14467,1,1,0,7714,729,465,9006
6540.235026,managed-fullframe-lz4,3686400,14467,1,1,0,7875,469,482,8929
6540.258224,managed-fullframe-lz4,3686400,29290,1,1,0,3634,582,812,5114
6540.283477,managed-fullframe-lz4,3686400,29290,1,1,0,5498,648,838,7103
6540.310601,managed-fullframe-lz4,3686400,29290,1,1,0,7689,514,843,9145
6540.338011,managed-fullframe-lz4,3686400,29290,1,1,0,7745,523,832,9201
6540.365603,managed-fullframe-lz4,3686400,29290,1,1,0,7687,491,834,9118
6540.392884,managed-fullframe-lz4,3686400,29290,1,1,0,7606,988,882,9575
6540.420354,managed-fullframe-lz4,3686400,29290,1,1,0,7700,494,805,9091
6540.457521,managed-fullframe-lz4,3686400,29290,1,1,0,9563,1820,906,12350
6540.479847,managed-fullframe-lz4,3686400,29290,1,1,0,3404,500,804,4770
6540.502743,managed-fullframe-lz4,3686400,29290,1,1,0,3566,468,822,4918
6540.525613,managed-fullframe-lz4,3686400,29676,1,1,0,2174,488,908,3760
6540.550072,managed-fullframe-lz4,3686400,29676,1,1,0,3464,480,815,4827
6540.576261,managed-fullframe-lz4,3686400,29676,1,1,0,3693,459,842,5053
6540.601571,managed-fullframe-lz4,3686400,29676,1,1,0,3634,485,825,5009
6540.627825,managed-fullframe-lz4,3686400,29676,1,1,0,3546,470,837,4917
6540.653881,managed-fullframe-lz4,3686400,29676,1,1,0,3463,783,812,5118
6540.774018,managed-fullframe-lz4,3686400,1891678,1,1,0,50412,1034,46270,98281
6540.891625,managed-fullframe-lz4,3686400,2471679,1,1,0,52373,1003,60081,114396
6541.006641,managed-fullframe-lz4,3686400,2849238,1,1,0,39607,1114,69281,110780
6541.120233,managed-fullframe-lz4,3686400,2846070,1,1,0,39735,1065,69190,110756
6541.234469,managed-fullframe-lz4,3686400,2846013,1,1,0,39720,1303,69165,110951
6541.349831,managed-fullframe-lz4,3686400,2846013,1,1,0,39712,1407,69062,111334
6541.504516,managed-fullframe-lz4,3686400,2846013,1,1,0,76376,3622,69350,150110
6541.637146,managed-fullframe-lz4,3686400,2846013,1,1,0,40441,2663,68943,112878
6541.779696,managed-fullframe-lz4,3686400,2846013,1,1,0,51134,3065,68896,123864
6541.930113,managed-fullframe-lz4,3686400,2846013,1,1,0,57698,3631,68898,131051
6542.066662,managed-fullframe-lz4,3686400,2846013,1,1,0,60685,2848,69153,133456
6542.241422,managed-fullframe-lz4,3686400,2846013,1,1,0,82933,2887,69605,156231
6542.420116,managed-fullframe-lz4,3686400,2846013,1,1,0,84894,3157,69132,158022
6542.587772,managed-fullframe-lz4,3686400,2846013,1,1,0,75661,2785,69127,148547
6542.746826,managed-fullframe-lz4,3686400,2846013,1,1,0,67330,2959,69213,140230
6542.863015,managed-fullframe-lz4,3686400,2846013,1,1,0,39819,2947,69257,113280
6542.995785,managed-fullframe-lz4,3686400,2846013,1,1,0,40655,3715,69206,114403
6543.166526,managed-fullframe-lz4,3686400,2846013,1,1,0,78959,2894,69221,152150
6543.282442,managed-fullframe-lz4,3686400,2846013,1,1,0,40133,2913,69252,113254
6543.414746,managed-fullframe-lz4,3686400,2846013,1,1,0,39891,3625,69250,113540
6543.586810,managed-fullframe-lz4,3686400,2846013,1,1,0,77788,3586,70328,152501
6543.705209,managed-fullframe-lz4,3686400,2846013,1,1,0,39880,3830,70204,114801
6543.853510,managed-fullframe-lz4,3686400,2846013,1,1,0,49424,3587,70026,123836
6544.028825,managed-fullframe-lz4,3686400,2846013,1,1,0,74750,3864,70442,149838
