frame_seq,e2e_source_ready_to_worker_end_us
1209,65137.767
1211,73606.987
1213,83664.331
1216,65158.288
1218,75303.497
1220,84765.893
1223,67661.570
1225,79260.112
1227,89694.645
1230,68504.330
1232,77615.164
1234,86747.977
1237,65915.684
1239,75881.830
1241,85681.155
1244,67049.850
1246,75075.476
1248,87635.061
1251,65647.767
1253,72201.414
1255,85267.925
1258,66109.798
1260,76468.237
1262,87233.550
1265,68126.309
1267,77690.007
1269,89629.384
1272,69186.830
1274,78723.445
1277,60061.099
1279,68337.976
1281,82589.175
1283,81635.373
1286,47980.109
1287,59857.558
1289,50375.005
1290,68697.924
1292,65032.298
1294,56590.579
1296,52259.589
1298,46617.088
1299,64779.902
1301,57236.620
1303,45452.348
1304,63827.038
1306,58133.026
1308,53644.276
1310,50551.203
1311,72206.361
1313,67990.788
1315,63747.090
1317,57565.631
1319,52992.193
1321,49428.286
1322,70657.715
1324,63478.444
1326,57786.360
1328,54063.912
1330,47926.463
1331,66251.622
1333,63906.934
1335,59901.203
1337,60752.245
1339,54187.766
1341,51075.109
1342,68794.746
1344,60462.194
1346,50337.453
1347,71562.663
1349,61427.350
1351,53199.068
1352,64168.235
1354,57831.099
1356,48611.255
1357,71788.237
1359,60871.204
1361,57336.100
1362,78228.497
1364,55227.141
1366,52923.495
1368,47150.109
1369,69285.840
1371,57249.798
1373,54055.682
1375,48785.474
1376,65537.507
1378,58579.693
1380,59554.589
1382,61830.111
1384,57773.131
1386,57094.745
1387,71682.976
1389,67689.382
1391,63569.798
1393,61679.590
1395,57467.298
1396,65482.819
1398,62273.184
1400,65354.017
1402,62302.610
1404,65003.705
1406,66602.402
1408,65434.329
1410,64995.163
1412,67842.298
1414,63950.579
1416,63547.663
1418,64839.694
1420,66548.183
1422,70721.986
1424,73188.549
1426,68328.184
1428,68234.486
1430,69331.569
1432,69671.361
1434,66186.830
1436,67570.423
1438,71285.320
1440,71002.663
1442,70226.935
1444,67611.309
1446,70726.986
1448,71763.862
1450,72571.153
1452,72957.455
1454,74379.382
1456,79084.227
1459,55929.225
1461,58582.402
1463,61681.881
1465,62795.162
1467,65061.152
1469,68115.007
1471,71429.538
1473,70145.059
1475,71621.569
1477,72284.799
1479,75720.945
1481,76876.674
1483,77729.434
1485,80868.862
1488,53662.192
1490,54623.756
1492,55648.235
1494,58528.026
1496,60891.985
1498,64095.891
1500,61031.516
1502,63829.955
1504,64548.340
1506,66631.934
1508,65939.225
1510,61345.787
1512,59050.839
1514,61624.798
1516,65823.756
1518,70099.121
1520,72695.060
1522,65904.642
1524,65472.611
1526,70311.778
1528,74846.205
1530,77921.831
1532,80261.726
1535,55701.776
1536,81082.560
1539,59361.256
1541,59443.339
1542,80634.279
1544,80835.737
1546,71861.883
1548,73045.476
1550,74269.903
1552,72808.496
1554,76206.830
1556,79884.800
1558,78485.164
1560,80043.706
1562,83428.655
1565,62125.892
1567,60244.225
1569,64674.486
1571,70742.351
1573,75373.497
1575,81140.946
1578,56657.558
1580,59006.777
1582,57955.631
1583,83129.435
1586,54995.006
1587,85129.279
1590,60093.235
1591,79818.915
1593,80539.539
1596,59436.360
1598,63985.215
1600,71017.039
1602,74959.382
1604,78068.914
1606,84372.196
1609,61859.069
1610,95341.363
1612,87855.269
1615,58992.453
1617,65456.153
1619,61897.975
1621,64982.142
1623,70172.924
1625,98989.749
1628,119348.554
1632,104472.198
1635,131255.429
1639,132226.992
1644,100434.385
1647,121331.574
1651,119239.127
1655,121992.668
1659,117774.387
1663,116345.480
1667,120936.471
1671,116253.241
1675,122008.710
1679,125387.773
1683,123949.335
1687,127408.502
1691,131353.711
1696,105676.573
1700,108329.334
1704,116549.127
1708,114995.428
1712,120179.700
1716,112716.365
1720,116969.647
1724,114601.262
1728,121188.033
1732,114025.324
1736,121612.773
1740,124151.575
1744,127881.263
1748,143453.765
1753,120842.200
1757,131994.545
1762,111335.532
1766,110765.427
1770,118756.782
1774,123414.804
1778,133421.315
1783,119846.574
1787,134314.909
1792,122634.804
1796,136781.992
1801,124162.981
1805,135101.628
1810,114063.032
1814,118513.762
1818,126823.607
1823,113124.647
1827,114665.688
1831,122523.502
1835,120803.294
1839,113715.480
1843,125798.919
1847,141211.160
1852,121041.470
1856,135206.785
1861,124247.565
1865,140359.649
1870,130469.388
1875,124388.346
1879,117469.908
1883,131055.118
1888,107937.146
1892,111298.188
1896,113154.803
1900,125512.460
1904,121296.678
1908,128788.398
1912,131562.982
1917,117011.834
1921,131088.711
1926,111009.126
1930,121714.595
1934,130643.294
1939,87282.561
1942,125948.554
1947,109477.251
1951,122865.793
1955,120052.043
1959,126041.627
1964,108109.750
1968,109855.427
1972,109923.448
1976,126392.616
1980,137996.732
1985,114812.356
1989,116006.053
1993,127041.367
1997,137283.556
2002,120898.502
2006,120485.585
2010,120931.314
2014,114404.803
2018,113559.594
2022,124342.981
2026,131461.315
2031,108911.677
2035,123608.814
2039,126503.919
2044,99165.843
2047,136639.753
2052,111796.469
2056,123050.481
2060,123899.283
2064,127844.387
2069,111978.501
2073,101487.770
2076,126725.273
2080,131702.357
2085,111648.814
2089,123072.617
2093,125191.628
2097,115871.834
2101,125389.961
2105,125994.961
2109,117725.949
2113,123508.294
2117,126058.710
2121,128243.398
2125,140674.180
2130,125760.116
2134,125090.637
2138,137686.108
2143,119515.950
2147,125469.804
2151,121291.210
2155,128237.773
2159,135648.503
2164,111326.573
2168,103540.427
2171,146146.525
2176,123018.450
2180,117639.491
2184,124598.554
2188,130397.044
2193,101391.781
2196,136095.586
2201,96284.020
2204,126262.825
2208,134456.992
2213,118600.637
2217,126285.273
2221,142047.306
2226,117228.918
2230,129011.159
2234,130160.586
2238,118615.064
2242,119764.074
2246,117147.095
2250,109869.959
2254,117928.710
2258,125354.908
2262,118987.564
2266,129552.981
2270,138137.149
2275,117413.397
2279,125903.606
2283,127749.961
2287,130946.107
